ticker,year,degree_centrality,betweenness_centrality,eigenvector_centrality,composite_score
BAC,2010,0.2857142857142857,0.28068213586804586,0.5029751200453629,6.324261064634576
HPQ,2010,0.2653061224489796,0.29633771316745877,0.33129655029196,5.3566402876585455
F,2010,0.20408163265306123,0.2702450843351039,0.3351564657736101,4.720543694490094
CSCO,2010,0.10884353741496598,0.0804212095797223,0.17858958739934228,1.8629895948162616
GE,2010,0.10204081632653061,0.07389805237163359,0.15267859208726448,1.6279216353679427
INTC,2010,0.08843537414965986,0.06644301556238934,0.15740097318119975,1.4959651119576296
BSX,2010,0.07482993197278912,0.03727518404622123,0.17906599065463538,1.3080064154072062
MNST,2010,0.05442176870748299,0.034572733202870194,0.17958032563275894,1.1321980454746101
PFE,2010,0.06802721088435373,0.0363433044450657,0.11574504993686863,0.9116950780247596
ATVI,2010,0.04081632653061224,0.04193458205199888,0.13998018739280574,0.8643145335082151
AAL,2010,0.027210884353741496,0.004193458205199888,0.15696032312854777,0.5937802483373416
ARNC,2010,0.027210884353741496,0.0030752026838132517,0.1405912875664344,0.4992466190668079
V,2010,0.03401360544217687,0.04361196533407884,0.07862754212670597,0.4960184027877544
AAPL,2010,0.047619047619047616,0.048271363339856495,0.038220371158756775,0.41948285325009177
A,2010,0.02040816326530612,0.014910073618488492,0.11892295494281452,0.41022566242858777
WU,2010,0.013605442176870748,0.08088714938030007,0.03868665314526343,0.3740967583795576
APH,2010,0.02040816326530612,0.0,0.13096971328306029,0.3739610119837187
DLTR,2010,0.02040816326530612,0.026279004752585967,0.0915518235804236,0.34121088467193395
LVLT,2010,0.04081632653061224,0.07119560152828255,0.0042514769603549,0.3396754815763989
FTR,2010,0.03401360544217687,0.0007455036809244246,0.10255377643621225,0.33483713710518237
COG,2010,0.03401360544217687,0.010064299692479732,0.08567444485262751,0.30780119064831574
ALK,2010,0.027210884353741496,0.0024228869630043798,0.10417402418335067,0.30127918384970215
AES,2010,0.02040816326530612,0.0121144348150219,0.10086948739766931,0.29545449732301415
AMAT,2010,0.02040816326530612,0.0,0.11505489975322575,0.2893643637949192
AWK,2010,0.02040816326530612,0.0,0.11194623997494269,0.2728399981710879
ABT,2010,0.013605442176870748,0.0,0.12038135744867315,0.26422332535960397
AME,2010,0.02040816326530612,0.0121144348150219,0.08979552813548292,0.23658985313449876
RF,2010,0.02040816326530612,0.0024228869630043798,0.09229541027803793,0.1846830123370128
IPG,2010,0.027210884353741496,0.002329699002888827,0.08173030638123975,0.1813506704764469
KEY,2010,0.03401360544217687,0.010996179293635264,0.05736785872663818,0.16360370943330108
HBI,2010,0.027210884353741496,0.01155530705432858,0.06614746885407537,0.1605794800025018
EBAY,2010,0.027210884353741496,0.013232690336408537,0.061559652040634585,0.14747630318683355
SBUX,2010,0.02040816326530612,0.006895909048550928,0.07578179304944581,0.12699345742726958
AEP,2010,0.013605442176870748,0.0,0.09051712257458006,0.10547725106000776
HBAN,2010,0.02040816326530612,0.024042493709812693,0.04820965162679779,0.09577655745352726
ALB,2010,0.013605442176870748,0.0,0.08685440815290625,0.08600775726006356
STX,2010,0.013605442176870748,0.0,0.08330389827612972,0.06713469698992884
HRL,2010,0.02040816326530612,0.00605721740751095,0.05563713048496752,0.014270767770116473
AET,2010,0.013605442176870748,0.0,0.07307624795192398,0.01276868543390843
MU,2010,0.02040816326530612,0.0,0.06261859824996704,0.010634403039977314
AGN,2010,0.013605442176870748,0.004100270245084335,0.05912400012745966,-0.03381318336539669
MSFT,2010,0.027210884353741496,0.012859938495946324,0.027374288490230776,-0.03674663358528238
CSX,2010,0.013605442176870748,0.0,0.06344625915873064,-0.03842040154299247
AEE,2010,0.006802721088435374,0.0,0.07243760618229307,-0.04408038526408029
AIZ,2010,0.013605442176870748,0.0,0.0603040552987627,-0.05512307380370605
CBG,2010,0.02040816326530612,0.004566210045662101,0.041346869416869075,-0.07172045281229956
AIV,2010,0.006802721088435374,0.0,0.06641549941089374,-0.07609144508205566
EW,2010,0.013605442176870748,0.007827788649706457,0.045385056007152404,-0.08176872422866115
CAG,2010,0.013605442176870748,0.0,0.052335067349857586,-0.09748295874175585
ALXN,2010,0.006802721088435374,0.0,0.062307855855920885,-0.0979260004196727
PCLN,2010,0.013605442176870748,0.0121144348150219,0.03479511419115156,-0.10922419393356626
DAL,2010,0.013605442176870748,0.002516074923119933,0.04497929935466931,-0.11965754173065228
WY,2010,0.027210884353741496,0.004100270245084335,0.022619331969641665,-0.12094846484379389
AJG,2010,0.006802721088435374,0.0,0.05717767513084046,-0.12519594568990808
AVGO,2010,0.006802721088435374,0.0,0.056162931281668035,-0.1305899095116809
TWX,2010,0.006802721088435374,0.0,0.05587470589675019,-0.13212199792988744
PKI,2010,0.013605442176870748,0.0121144348150219,0.02953214188703353,-0.1372000049981586
CHD,2010,0.013605442176870748,0.0121144348150219,0.02837877518638907,-0.1433308312767189
UAL,2010,0.006802721088435374,0.0,0.05277508213832233,-0.1485983317630048
AXP,2010,0.006802721088435374,0.0,0.050484520244935036,-0.16077402318950496
NVDA,2010,0.013605442176870748,0.0,0.03931241335572931,-0.1667060681649669
ADI,2010,0.013605442176870748,0.0,0.03735450347900733,-0.1771135173453122
CNC,2010,0.013605442176870748,0.003913894324853229,0.03196545851744916,-0.17943065115048898
ACN,2010,0.006802721088435374,0.0,0.04683161182581539,-0.1801913922852132
CBS,2010,0.006802721088435374,0.0,0.04653066342718064,-0.18179111104751977
ADBE,2010,0.006802721088435374,0.0,0.045814363421260655,-0.18559866930039226
CMS,2010,0.013605442176870748,0.00363433044450657,0.030816724402376164,-0.1874174830685802
SPLS,2010,0.006802721088435374,0.0,0.04427052916314395,-0.1938050616248063
DISCA,2010,0.013605442176870748,0.0121144348150219,0.016790784071592058,-0.20492785883319634
CHK,2010,0.006802721088435374,0.0,0.04205243898559797,-0.20559552301155937
DFS,2010,0.013605442176870748,0.0,0.030813896195789715,-0.21188071409833711
GWW,2010,0.006802721088435374,0.0,0.03932347496036234,-0.22010158110202757
ENDP,2010,0.013605442176870748,0.0,0.028455455466817926,-0.22441722168913872
CNP,2010,0.006802721088435374,0.0,0.03672172042180001,-0.23393144552109613
GLW,2010,0.006802721088435374,0.0,0.03649875950341679,-0.23511661469300996
WFC,2010,0.006802721088435374,0.0,0.03622252760181205,-0.23658495065276045
CAH,2010,0.006802721088435374,0.0,0.03572338045352755,-0.2392382130123041
CINF,2010,0.006802721088435374,0.0,0.03485955475340151,-0.24382995759749915
BMY,2010,0.006802721088435374,0.0,0.03355815217204606,-0.2507476821514523
WDC,2010,0.006802721088435374,0.0,0.03295186788330566,-0.25397044178861794
CHTR,2010,0.006802721088435374,0.0,0.032820462174821007,-0.2546689408611856
VFC,2010,0.006802721088435374,0.0,0.03273142574062157,-0.2551422221777297
LOW,2010,0.006802721088435374,0.0,0.03267610905929858,-0.25543626306109163
BK,2010,0.006802721088435374,0.0,0.032071813819843524,-0.25864844972469986
DHI,2010,0.013605442176870748,0.0121144348150219,0.0065946490208493485,-0.2591263480681586
PHM,2010,0.006802721088435374,0.0,0.031146767425612364,-0.2635656185136643
YHOO,2010,0.013605442176870748,0.0121144348150219,0.005498947943383097,-0.26495064744789915
CTL,2010,0.006802721088435374,0.0,0.030669360425343715,-0.266103319126297
ALL,2010,0.006802721088435374,0.0,0.03061751859229602,-0.2663788891355577
COH,2010,0.006802721088435374,0.0,0.030125610352362688,-0.2689936724150979
D,2010,0.006802721088435374,0.0,0.0299730750677873,-0.26980448768361565
WMB,2010,0.006802721088435374,0.0,0.029581883107501625,-0.2718839043589374
DISCK,2010,0.006802721088435374,0.0,0.028954261152188073,-0.2752200863160614
KR,2010,0.006802721088435374,0.0,0.0279521807110644,-0.2805467366331197
USB,2010,0.006802721088435374,0.0,0.027920539607260157,-0.2807149278168753
HAL,2010,0.006802721088435374,0.0,0.02786114177109721,-0.28103066245238534
BWA,2010,0.006802721088435374,0.0,0.027436824302856554,-0.283286160797611
DNB,2010,0.006802721088435374,0.0,0.027435185499004013,-0.28329487200950826
EXR,2010,0.013605442176870748,0.0121144348150219,0.0003996763295702129,-0.29205629250771564
CF,2010,0.006802721088435374,0.0,0.0228297757077046,-0.30777534934274536
MAS,2010,0.013605442176870748,0.0003727518404622123,0.010460060892207525,-0.31756588145200065
GOOG,2010,0.02040816326530612,0.0006523157208088716,6.858303848188142e-22,-0.3178323501762222
JCI,2010,0.013605442176870748,0.00018637592023110615,0.009345184160514707,-0.3247458644919643
BBY,2010,0.006802721088435374,0.0,0.01789482413094573,-0.3340075362034464
CRM,2010,0.006802721088435374,0.0,0.017653305212837183,-0.33529135212173317
CCL,2010,0.006802721088435374,0.0,0.01581426456392233,-0.3450669410401645
TMK,2010,0.006802721088435374,0.0,0.014956657156725714,-0.3496256317200593
AN,2010,0.006802721088435374,0.0,0.0145500391114259,-0.35178704716240566
FITB,2010,0.006802721088435374,0.0,0.014329167200660959,-0.35296111202309294
ETFC,2010,0.006802721088435374,0.0,0.013540672915421397,-0.3571524255764842
FTI,2010,0.006802721088435374,0.0,0.013481330659487352,-0.3574678647701996
FOXA,2010,0.006802721088435374,0.0,0.01317858353735161,-0.3590771448119341
TSO,2010,0.013605442176870748,0.0005591277606933184,7.62402564811379e-22,-0.3719135389427129
L,2010,0.006802721088435374,0.0,0.010694837889929809,-0.3722797221673968
ISRG,2010,0.013605442176870748,0.0003727518404622123,6.609274358354416e-22,-0.37316729265752047
CMCSA,2010,0.006802721088435374,0.0,0.009870505865723512,-0.37666153450291756
CTXS,2010,0.006802721088435374,0.0,0.00896979156939252,-0.3814493637980891
PVH,2010,0.006802721088435374,0.0,0.00801336632061431,-0.3865333297608758
FISV,2010,0.006802721088435374,0.0,0.006595226535632491,-0.39407158160704076
WYN,2010,0.006802721088435374,0.0,0.004345529641336375,-0.40603005139001547
MAR,2010,0.006802721088435374,0.0,0.004213844661605191,-0.4067300349544591
ORCL,2010,0.006802721088435374,0.0,0.003673727457048345,-0.4096010773985918
PGR,2010,0.006802721088435374,0.0,0.003550782745610365,-0.4102546012668227
HRS,2010,0.006802721088435374,0.0,0.002928619120184348,-0.4135617689717641
LUV,2010,0.006802721088435374,0.0,0.0027737782193606674,-0.41438483995451003
ESS,2010,0.006802721088435374,0.0,0.002508563301505443,-0.4157946141286251
LEG,2010,0.006802721088435374,0.0,0.0023869400202581863,-0.41644111381371124
NFLX,2010,0.006802721088435374,0.0,0.0015182441759250464,-0.421058746096261
CVX,2010,0.006802721088435374,0.0,0.0005495011089793323,-0.4262081885491124
RAI,2010,0.006802721088435374,0.0,0.0004631846250133577,-0.4266670117212015
PBCT,2010,0.006802721088435374,0.0,0.0004592099298646344,-0.4266881395771153
WM,2010,0.006802721088435374,0.0,0.0004010263193120468,-0.4269974198852411
VIAB,2010,0.006802721088435374,0.0,0.00040011271631001125,-0.4270022762256313
MAT,2010,0.006802721088435374,0.0,0.00035616091037006303,-0.4272359060735333
QCOM,2010,0.006802721088435374,0.0,3.471668657729775e-05,-0.4289445722706924
NDAQ,2010,0.006802721088435374,0.0,3.638958490559736e-22,-0.4291291119962226
FDX,2010,0.006802721088435374,0.0,5.24256906155031e-29,-0.4291291119962226
MOS,2010,0.006802721088435374,0.0,5.24256906155031e-29,-0.4291291119962226
BIIB,2010,0.006802721088435374,0.0,1.0412717137222111e-29,-0.4291291119962226
TGNA,2010,0.006802721088435374,0.0,1.0412717137222111e-29,-0.4291291119962226
ABC,2010,0.006802721088435374,0.0,3.065305155036271e-22,-0.4291291119962226
MSI,2010,0.006802721088435374,0.0,3.1552294847549134e-22,-0.4291291119962226
DVA,2010,0.006802721088435374,0.0,7.255775825233474e-30,-0.4291291119962226
GD,2010,0.006802721088435374,0.0,7.255775825233474e-30,-0.4291291119962226
UNM,2010,0.006802721088435374,0.0,7.186315772717565e-30,-0.4291291119962226
XEC,2010,0.006802721088435374,0.0,7.186315772717565e-30,-0.4291291119962226
MCO,2010,0.006802721088435374,0.0,6.963492750846302e-30,-0.4291291119962226
UAA,2010,0.006802721088435374,0.0,6.963492750846302e-30,-0.4291291119962226
