ticker,year,degree_centrality,betweenness_centrality,eigenvector_centrality,composite_score
DD,2010,0.1142857142857143,0.16886446886446888,0.08999552008533301,2.993296923847567
TSCO,2010,0.04761904761904762,0.17857142857142858,0.09941282293234306,2.625798595897925
YUM,2010,0.1142857142857143,0.09798534798534798,0.21038624362459948,2.4834751580948673
UDR,2010,0.06666666666666668,0.17362637362637362,0.01252567861482569,2.3657868169096585
DLTR,2010,0.1142857142857143,0.057692307692307696,0.3080369558112114,2.309785774401472
UAA,2010,0.13333333333333336,0.03974358974358974,0.3311611071472513,2.3057869894762413
CMG,2010,0.1142857142857143,0.05146520146520146,0.27717785138264567,2.100264312112395
AZO,2010,0.12380952380952381,0.027655677655677655,0.31452138288776227,1.9938773607228388
VRSN,2010,0.12380952380952381,0.01282051282051282,0.34515843026912896,1.9087934209316895
MCD,2010,0.05714285714285715,0.10402930402930403,0.13018189960772772,1.7857862479838051
UNP,2010,0.1142857142857143,0.08406593406593407,0.0831520008030475,1.7835374633385201
CMI,2010,0.09523809523809525,0.05128205128205128,0.22634418168237697,1.7412458293165693
INTU,2010,0.09523809523809525,0.04304029304029304,0.23538950582042353,1.6622709836740828
FFIV,2010,0.09523809523809525,0.007875457875457875,0.2890596258701415,1.385249877881125
MO,2010,0.08571428571428572,0.07637362637362638,0.03360041544456577,1.2477110353616145
PPG,2010,0.10476190476190478,0.056776556776556776,0.04386834705214995,1.169614793339691
O,2010,0.04761904761904762,0.09358974358974359,0.0017852940200176308,1.0525691765952458
AAP,2010,0.0761904761904762,0.004212454212454212,0.20874082923107093,0.8604838851910603
CXO,2010,0.06666666666666668,0.002564102564102564,0.21750437323485663,0.7951503214196998
ROP,2010,0.09523809523809525,0.03168498168498168,0.052526043258577765,0.7769343976534261
SWKS,2010,0.06666666666666668,0.007692307692307693,0.1673037890829134,0.6670907457122977
ES,2010,0.05714285714285715,0.049267399267399266,0.019456579433722265,0.5819140643542966
NTAP,2010,0.05714285714285715,0.0,0.18445710035809665,0.5508254562022084
MKC,2010,0.05714285714285715,0.011721611721611722,0.11767549922962518,0.44879525922539915
FRT,2010,0.05714285714285715,0.041758241758241756,0.00028407067364155496,0.4009744132697211
AME,2010,0.06666666666666668,0.008974358974358974,0.08835824035577032,0.37111798914532673
XEL,2010,0.06666666666666668,0.030036630036630037,0.008202996984948634,0.34617987520153964
ETN,2010,0.06666666666666668,0.02271062271062271,0.0262494243600055,0.3157598619663973
EXPD,2010,0.06666666666666668,0.010989010989010988,0.05163395458675281,0.2532141709718986
PCAR,2010,0.06666666666666668,0.010256410256410256,0.030567079292866665,0.1592454372183534
CAT,2010,0.0380952380952381,0.0184981684981685,0.05581522959870301,0.1429962052217817
SO,2010,0.0380952380952381,0.022893772893772892,0.03160243932556357,0.1080358161138429
